2026-01-17 16:12:21,805 | INFO     | generation.utils.kafka | [KafkaUtils]: Creating topic 'votes_raw'...
2026-01-17 16:12:21,871 | INFO     | generation.utils.kafka | [KafkaUtils]: Topic 'votes_raw' created succesfully
2026-01-17 16:12:21,872 | INFO     | generation.utils.kafka | [KafkaUtils]: Waiting 5 seconds for metadata propagation...
2026-01-17 16:12:26,948 | INFO     | generation.utils.kafka | [KafkaUtils]: Creating topic 'votes_clean'...
2026-01-17 16:12:26,983 | INFO     | generation.utils.kafka | [KafkaUtils]: Topic 'votes_clean' created succesfully
2026-01-17 16:12:26,984 | INFO     | generation.utils.kafka | [KafkaUtils]: Waiting 5 seconds for metadata propagation...
2026-01-17 16:12:32,065 | INFO     | generation.utils.kafka | [KafkaUtils]: Creating topic 'votes_seats_provinces'...
2026-01-17 16:12:32,101 | INFO     | generation.utils.kafka | [KafkaUtils]: Topic 'votes_seats_provinces' created succesfully
2026-01-17 16:12:32,101 | INFO     | generation.utils.kafka | [KafkaUtils]: Waiting 5 seconds for metadata propagation...
2026-01-17 16:25:08,315 | INFO     | generation.utils.kafka | [KafkaUtils]: Creating topic 'votes_raw'...
2026-01-17 16:25:08,424 | INFO     | generation.utils.kafka | [KafkaUtils]: Topic 'votes_raw' created succesfully
2026-01-17 16:25:08,426 | INFO     | generation.utils.kafka | [KafkaUtils]: Waiting 5 seconds for metadata propagation...
2026-01-17 16:25:13,508 | INFO     | generation.utils.kafka | [KafkaUtils]: Creating topic 'votes_clean'...
2026-01-17 16:25:13,545 | INFO     | generation.utils.kafka | [KafkaUtils]: Topic 'votes_clean' created succesfully
2026-01-17 16:25:13,546 | INFO     | generation.utils.kafka | [KafkaUtils]: Waiting 5 seconds for metadata propagation...
2026-01-17 16:25:18,801 | INFO     | generation.utils.kafka | [KafkaUtils]: Creating topic 'votes_seats_provinces'...
2026-01-17 16:25:18,848 | INFO     | generation.utils.kafka | [KafkaUtils]: Topic 'votes_seats_provinces' created succesfully
2026-01-17 16:25:18,849 | INFO     | generation.utils.kafka | [KafkaUtils]: Waiting 5 seconds for metadata propagation...
2026-01-17 16:51:51,344 | INFO     | generation.utils.kafka | [KafkaUtils]: Creating topic 'votes_raw'...
2026-01-17 16:51:51,411 | INFO     | generation.utils.kafka | [KafkaUtils]: Topic 'votes_raw' created succesfully
2026-01-17 16:51:51,412 | INFO     | generation.utils.kafka | [KafkaUtils]: Waiting 5 seconds for metadata propagation...
2026-01-17 16:51:56,501 | INFO     | generation.utils.kafka | [KafkaUtils]: Creating topic 'votes_clean'...
2026-01-17 16:51:56,536 | INFO     | generation.utils.kafka | [KafkaUtils]: Topic 'votes_clean' created succesfully
2026-01-17 16:51:56,536 | INFO     | generation.utils.kafka | [KafkaUtils]: Waiting 5 seconds for metadata propagation...
2026-01-17 16:52:01,617 | INFO     | generation.utils.kafka | [KafkaUtils]: Creating topic 'votes_seats_provinces'...
